maintenance_id,vehicle_id,service_date,issue_type,description,cost,status
M501,V103,2026-02-15,Engine,Overheating issue reported,450.00,Completed
M502,V103,2026-02-28,Engine,Coolant leak repair,320.00,Completed
M503,V104,2026-02-20,Brakes,Routine brake pad replacement,210.00,Completed
M504,V101,2026-02-10,Electrical,Door sensor malfunction,110.00,Completed
M505,V103,2026-03-01,Transmission,Gear slippage under load,850.00,In Progress
M506,V108,2026-02-12,Engine,Complete engine failure,2400.00,In Progress
M507,V108,2026-02-25,Electrical,Battery replacement,310.00,Completed
M508,V113,2026-02-27,HVAC,AC compressor repair,520.00,In Progress
M509,V102,2026-01-15,Tires,Full set replacement,600.00,Completed
M510,V105,2026-02-01,Brakes,Brake fluid flush,150.00,Completed
M511,V106,2026-02-18,Suspension,Rear shock absorber replacement,480.00,Completed
M512,V107,2026-01-22,Electrical,Headlight wiring repair,95.00,Completed
M513,V109,2026-02-05,HVAC,Cabin filter & blower repair,210.00,Completed
M514,V110,2026-02-14,Transmission,Fluid change & inspection,180.00,Completed
M515,V113,2026-03-02,Brakes,Rotor resurfacing,290.00,Open
